Complaint_ID,Category,Area,Priority,Status,Filing_Date,Resolution_Date,Delay_Days
CMPL-10089,Water Supply,Golghar,High,In-Progress,2025-04-16,,
CMPL-10090,Garbage Collection,Indra Nagar,High,Pending,2025-05-12,,
CMPL-10091,Road Construction,Indra Nagar,High,Pending,2024-08-18,,
CMPL-10092,Street Light,Civil Lines,High,Resolved,2025-05-11,2025-05-24,13.0
CMPL-10093,Street Light,Indra Nagar,Low,Resolved,2024-04-20,2024-04-30,10.0
CMPL-10094,Water Supply,Mohaddipur,Medium,Resolved,2025-06-23,2025-08-10,48.0
CMPL-10095,Garbage Collection,Basharatpur,Medium,In-Progress,2025-08-22,,
CMPL-10096,Water Supply,Civil Lines,Medium,Resolved,2025-10-05,2025-10-23,18.0
CMPL-10097,Road Construction,Golghar,Medium,In-Progress,2025-06-23,,
CMPL-10098,Garbage Collection,Indra Nagar,Medium,In-Progress,2025-01-25,,
CMPL-10099,Garbage Collection,Civil Lines,High,In-Progress,2025-08-21,,
CMPL-10100,Street Light,Basharatpur,High,Pending,2026-02-01,,
CMPL-10101,Garbage Collection,Mohaddipur,Low,Resolved,2025-03-01,2025-03-19,18.0
CMPL-10102,Garbage Collection,Indra Nagar,Medium,Pending,2024-05-04,,
CMPL-10103,Garbage Collection,Indra Nagar,High,Resolved,2024-08-08,2024-09-16,39.0
CMPL-10104,Garbage Collection,Basharatpur,High,Pending,2025-04-02,,
CMPL-10105,Sewerage,Basharatpur,High,Resolved,2025-03-23,2025-04-22,30.0
CMPL-10106,Sewerage,Basharatpur,Medium,Pending,2025-06-19,,
CMPL-10107,Garbage Collection,Basharatpur,High,Resolved,2024-08-19,2024-09-17,29.0
CMPL-10108,Street Light,Golghar,Medium,Resolved,2025-11-27,2025-12-08,11.0
CMPL-10109,Water Supply,Basharatpur,High,Pending,2025-05-02,,
CMPL-10110,Sewerage,Mohaddipur,Low,In-Progress,2025-12-14,,
CMPL-10111,Road Construction,Golghar,Medium,In-Progress,2024-07-22,,
CMPL-10112,Water Supply,Basharatpur,Low,Resolved,2025-11-09,2025-11-18,9.0
CMPL-10113,Street Light,Indra Nagar,High,In-Progress,2024-08-20,,
CMPL-10114,Garbage Collection,Indra Nagar,High,In-Progress,2024-05-05,,
CMPL-10115,Street Light,Civil Lines,Low,Resolved,2026-01-13,2026-01-15,2.0
CMPL-10116,Road Construction,Golghar,Low,Resolved,2025-02-13,2025-04-10,56.0
CMPL-10117,Water Supply,Civil Lines,Medium,In-Progress,2025-09-06,,
CMPL-10118,Road Construction,Golghar,High,Pending,2026-03-28,,
CMPL-10119,Garbage Collection,Civil Lines,Medium,Pending,2024-04-28,,
CMPL-10120,Road Construction,Golghar,Low,Resolved,2024-07-25,2024-11-15,113.0
CMPL-10121,Road Construction,Civil Lines,Low,In-Progress,2025-09-16,,
CMPL-10122,Water Supply,Civil Lines,Low,Resolved,2025-05-29,2025-06-20,22.0
CMPL-10123,Water Supply,Civil Lines,Medium,Pending,2024-09-14,,
CMPL-10124,Garbage Collection,Civil Lines,High,Pending,2025-07-23,,
CMPL-10125,Road Construction,Mohaddipur,High,Pending,2025-12-19,,
CMPL-10126,Road Construction,Indra Nagar,Medium,Resolved,2025-07-23,2025-09-11,50.0
CMPL-10127,Sewerage,Civil Lines,Low,Pending,2025-11-19,,
CMPL-10128,Street Light,Mohaddipur,High,In-Progress,2025-07-27,,
CMPL-10129,Sewerage,Civil Lines,Low,In-Progress,2026-02-25,,
CMPL-10130,Street Light,Indra Nagar,High,Pending,2024-11-08,,
CMPL-10131,Sewerage,Civil Lines,Medium,Resolved,2024-04-23,2024-05-26,33.0
CMPL-10132,Road Construction,Civil Lines,Low,Resolved,2025-05-21,2025-09-22,124.0
CMPL-10133,Water Supply,Indra Nagar,Low,Pending,2024-06-28,,
CMPL-10134,Garbage Collection,Basharatpur,Medium,Resolved,2024-07-31,2024-08-16,16.0
CMPL-10135,Road Construction,Golghar,High,Pending,2025-04-30,,
CMPL-10136,Garbage Collection,Indra Nagar,High,In-Progress,2025-07-10,,
CMPL-10137,Garbage Collection,Golghar,Medium,Pending,2025-08-12,,
CMPL-10138,Street Light,Basharatpur,High,In-Progress,2025-06-20,,
CMPL-10139,Sewerage,Mohaddipur,High,Pending,2024-10-11,,
CMPL-10140,Garbage Collection,Civil Lines,Low,Resolved,2025-11-12,2025-12-20,38.0
CMPL-10141,Street Light,Civil Lines,Medium,In-Progress,2024-05-11,,
CMPL-10142,Water Supply,Mohaddipur,High,Resolved,2024-10-28,2024-12-23,56.0
CMPL-10143,Water Supply,Mohaddipur,Low,In-Progress,2025-02-07,,
CMPL-10144,Water Supply,Indra Nagar,High,In-Progress,2026-03-03,,
CMPL-10145,Street Light,Indra Nagar,Low,In-Progress,2025-06-16,,
CMPL-10146,Sewerage,Mohaddipur,Medium,Pending,2025-12-05,,
CMPL-10147,Water Supply,Golghar,Low,In-Progress,2025-03-12,,
CMPL-10148,Road Construction,Golghar,Low,Pending,2026-04-13,,
CMPL-10149,Garbage Collection,Civil Lines,Low,In-Progress,2024-08-01,,
CMPL-10150,Sewerage,Mohaddipur,Low,In-Progress,2024-09-17,,
CMPL-10151,Water Supply,Indra Nagar,Medium,Pending,2025-09-06,,
CMPL-10152,Garbage Collection,Golghar,High,Pending,2025-08-16,,
CMPL-10153,Road Construction,Basharatpur,Medium,In-Progress,2025-09-29,,
CMPL-10154,Road Construction,Civil Lines,High,Pending,2025-11-29,,
CMPL-10155,Garbage Collection,Basharatpur,High,Resolved,2025-07-11,2025-08-04,24.0
CMPL-10156,Road Construction,Basharatpur,Low,Pending,2026-01-23,,
CMPL-10157,Water Supply,Indra Nagar,High,Pending,2024-06-12,,
CMPL-10158,Road Construction,Civil Lines,Low,Pending,2025-12-20,,
CMPL-10159,Road Construction,Indra Nagar,Medium,In-Progress,2025-01-25,,
CMPL-10160,Road Construction,Civil Lines,Low,Pending,2025-07-08,,
CMPL-10161,Sewerage,Mohaddipur,Low,Resolved,2025-01-07,2025-02-01,25.0
CMPL-10162,Road Construction,Mohaddipur,Low,Pending,2024-09-25,,
CMPL-10163,Street Light,Indra Nagar,High,Pending,2026-03-30,,
CMPL-10164,Garbage Collection,Basharatpur,Medium,Pending,2025-03-20,,
CMPL-10165,Water Supply,Indra Nagar,High,Resolved,2026-01-30,2026-03-27,56.0
CMPL-10166,Sewerage,Mohaddipur,Medium,Pending,2026-04-17,,
CMPL-10167,Street Light,Mohaddipur,High,Pending,2025-01-16,,
CMPL-10168,Road Construction,Golghar,Medium,Resolved,2024-11-28,2025-03-12,104.0
CMPL-10169,Street Light,Golghar,Medium,In-Progress,2024-06-04,,
CMPL-10170,Street Light,Golghar,Medium,Resolved,2026-03-15,2026-03-30,15.0
CMPL-10171,Road Construction,Mohaddipur,Medium,Pending,2026-03-08,,
CMPL-10172,Garbage Collection,Golghar,Medium,In-Progress,2024-06-30,,
CMPL-10173,Road Construction,Basharatpur,Medium,Resolved,2025-08-18,2025-12-27,131.0
CMPL-10174,Garbage Collection,Golghar,Low,Pending,2024-05-31,,
CMPL-10175,Garbage Collection,Golghar,High,Pending,2025-10-15,,
CMPL-10176,Street Light,Basharatpur,Medium,Pending,2024-07-18,,
CMPL-10177,Sewerage,Indra Nagar,Medium,Pending,2025-08-10,,
CMPL-10178,Garbage Collection,Indra Nagar,Low,In-Progress,2024-11-08,,
CMPL-10179,Street Light,Golghar,Medium,Pending,2025-05-01,,
CMPL-10180,Street Light,Indra Nagar,High,In-Progress,2024-04-27,,
CMPL-10181,Water Supply,Basharatpur,Low,Resolved,2025-05-10,2025-05-30,20.0
CMPL-10182,Road Construction,Civil Lines,Medium,Resolved,2024-04-22,2024-10-07,168.0
CMPL-10183,Garbage Collection,Basharatpur,High,Resolved,2024-08-03,2024-09-09,37.0
CMPL-10184,Garbage Collection,Civil Lines,High,In-Progress,2024-07-30,,
CMPL-10185,Garbage Collection,Civil Lines,Low,Resolved,2024-11-23,2024-12-07,14.0
CMPL-10186,Road Construction,Civil Lines,Low,Resolved,2024-10-13,2024-11-25,43.0
CMPL-10187,Street Light,Mohaddipur,Low,In-Progress,2024-05-25,,
CMPL-10188,Road Construction,Basharatpur,Low,Resolved,2025-01-06,2025-05-22,136.0
CMPL-10189,Water Supply,Mohaddipur,Medium,In-Progress,2025-04-02,,
CMPL-10190,Street Light,Basharatpur,Medium,In-Progress,2026-03-29,,
CMPL-10191,Sewerage,Indra Nagar,Low,Pending,2024-10-30,,
CMPL-10192,Garbage Collection,Indra Nagar,Low,Resolved,2026-01-15,2026-02-14,30.0
CMPL-10193,Road Construction,Civil Lines,Medium,Resolved,2025-07-26,2025-10-27,93.0
CMPL-10194,Garbage Collection,Basharatpur,Medium,In-Progress,2025-06-02,,
CMPL-10195,Garbage Collection,Civil Lines,Medium,Pending,2024-12-25,,
CMPL-10196,Road Construction,Mohaddipur,High,In-Progress,2026-02-04,,
CMPL-10197,Road Construction,Basharatpur,Low,In-Progress,2024-12-16,,
CMPL-10198,Sewerage,Basharatpur,High,In-Progress,2026-02-27,,
CMPL-10199,Road Construction,Civil Lines,High,In-Progress,2024-09-25,,
CMPL-10200,Road Construction,Golghar,High,In-Progress,2024-07-19,,
CMPL-10201,Water Supply,Mohaddipur,Medium,Resolved,2024-10-20,2024-10-29,9.0
CMPL-10202,Water Supply,Basharatpur,Medium,Pending,2024-08-01,,
CMPL-10203,Road Construction,Mohaddipur,High,Resolved,2024-07-15,2024-10-18,95.0
CMPL-10204,Sewerage,Indra Nagar,Medium,Resolved,2024-10-24,2024-11-29,36.0
CMPL-10205,Garbage Collection,Basharatpur,Low,Resolved,2026-01-27,2026-02-04,8.0
CMPL-10206,Road Construction,Golghar,Low,Resolved,2025-02-11,2025-06-10,119.0
CMPL-10207,Sewerage,Indra Nagar,Low,In-Progress,2025-01-11,,
CMPL-10208,Road Construction,Basharatpur,High,Pending,2024-08-02,,
CMPL-10209,Water Supply,Civil Lines,High,Pending,2024-05-13,,
CMPL-10210,Garbage Collection,Mohaddipur,Low,Pending,2025-12-01,,
CMPL-10211,Sewerage,Golghar,Low,Resolved,2024-06-07,2024-06-30,23.0
CMPL-10212,Garbage Collection,Golghar,Medium,Resolved,2025-01-01,2025-02-20,50.0
CMPL-10213,Water Supply,Indra Nagar,Medium,In-Progress,2025-12-18,,
CMPL-10214,Street Light,Civil Lines,Low,In-Progress,2025-10-28,,
CMPL-10215,Street Light,Indra Nagar,Low,Resolved,2025-05-02,2025-05-17,15.0
CMPL-10216,Road Construction,Mohaddipur,Medium,In-Progress,2024-07-11,,
CMPL-10217,Garbage Collection,Basharatpur,Medium,Pending,2025-05-30,,
CMPL-10218,Road Construction,Mohaddipur,Low,Pending,2025-03-23,,
CMPL-10219,Street Light,Mohaddipur,Low,In-Progress,2024-12-23,,
CMPL-10220,Water Supply,Basharatpur,Medium,Pending,2025-03-30,,
CMPL-10221,Road Construction,Mohaddipur,Medium,In-Progress,2025-08-01,,
CMPL-10222,Water Supply,Golghar,High,Pending,2025-11-06,,
CMPL-10223,Street Light,Indra Nagar,Low,In-Progress,2025-05-26,,
CMPL-10224,Road Construction,Basharatpur,Medium,Pending,2024-12-08,,
CMPL-10225,Water Supply,Indra Nagar,Low,Pending,2025-02-03,,
CMPL-10226,Road Construction,Civil Lines,Medium,Resolved,2024-05-29,2024-09-28,122.0
CMPL-10227,Sewerage,Basharatpur,Low,Resolved,2025-02-20,2025-03-24,32.0
CMPL-10228,Water Supply,Basharatpur,High,In-Progress,2026-02-20,,
CMPL-10229,Street Light,Indra Nagar,Low,Resolved,2024-07-03,2024-07-04,1.0
CMPL-10230,Sewerage,Basharatpur,Medium,In-Progress,2025-05-16,,
CMPL-10231,Sewerage,Indra Nagar,Medium,In-Progress,2026-04-18,,
CMPL-10232,Street Light,Basharatpur,High,Resolved,2025-12-07,2025-12-15,8.0
CMPL-10233,Water Supply,Indra Nagar,High,Resolved,2025-01-13,2025-03-10,56.0
CMPL-10234,Water Supply,Golghar,High,Resolved,2025-09-17,2025-11-04,48.0
CMPL-10235,Street Light,Mohaddipur,High,Pending,2024-09-16,,
CMPL-10236,Street Light,Civil Lines,Low,Resolved,2024-05-03,2024-05-16,13.0
CMPL-10237,Sewerage,Mohaddipur,Medium,In-Progress,2025-05-24,,
CMPL-10238,Sewerage,Civil Lines,Low,Resolved,2024-05-28,2024-06-18,21.0
CMPL-10239,Sewerage,Golghar,Low,Resolved,2026-02-28,2026-03-20,20.0
CMPL-10240,Street Light,Mohaddipur,Medium,Pending,2024-04-23,,
CMPL-10241,Water Supply,Civil Lines,Low,Pending,2024-07-26,,
CMPL-10242,Road Construction,Indra Nagar,Medium,Resolved,2025-03-11,2025-06-01,82.0
CMPL-10243,Street Light,Mohaddipur,Low,Pending,2025-08-24,,
CMPL-10244,Street Light,Golghar,Medium,Resolved,2026-03-13,2026-03-24,11.0
CMPL-10245,Street Light,Civil Lines,Low,In-Progress,2025-12-23,,
CMPL-10246,Sewerage,Basharatpur,Medium,Pending,2024-12-11,,
CMPL-10247,Road Construction,Civil Lines,High,In-Progress,2025-11-25,,
CMPL-10248,Sewerage,Indra Nagar,High,Pending,2024-08-28,,
CMPL-10249,Garbage Collection,Golghar,Low,In-Progress,2026-03-07,,
CMPL-10250,Road Construction,Basharatpur,Low,In-Progress,2024-09-09,,
CMPL-10251,Road Construction,Indra Nagar,Low,Pending,2025-11-05,,
CMPL-10252,Street Light,Basharatpur,Medium,In-Progress,2024-08-21,,
CMPL-10253,Road Construction,Golghar,Medium,In-Progress,2024-12-25,,
CMPL-10254,Water Supply,Golghar,High,Resolved,2025-03-05,2025-04-25,51.0
CMPL-10255,Road Construction,Indra Nagar,Low,Resolved,2025-02-27,2025-08-23,177.0
CMPL-10256,Water Supply,Civil Lines,High,Resolved,2025-09-27,2025-11-22,56.0
CMPL-10257,Street Light,Basharatpur,Medium,Resolved,2024-09-14,2024-09-29,15.0
CMPL-10258,Sewerage,Mohaddipur,Low,In-Progress,2026-01-20,,
CMPL-10259,Garbage Collection,Indra Nagar,High,Resolved,2025-09-13,2025-11-10,58.0
CMPL-10260,Sewerage,Mohaddipur,Low,Pending,2025-09-03,,
CMPL-10261,Street Light,Civil Lines,Medium,Pending,2026-04-11,,
CMPL-10262,Garbage Collection,Mohaddipur,Low,Pending,2025-03-28,,
CMPL-10263,Street Light,Civil Lines,Medium,Resolved,2026-03-28,2026-04-08,11.0
CMPL-10264,Road Construction,Mohaddipur,High,Resolved,2025-04-18,2025-06-22,65.0
CMPL-10265,Water Supply,Mohaddipur,High,Pending,2025-07-04,,
CMPL-10266,Sewerage,Mohaddipur,Low,Resolved,2026-01-25,2026-03-04,38.0
CMPL-10267,Water Supply,Indra Nagar,Low,Resolved,2025-03-16,2025-04-28,43.0
CMPL-10268,Sewerage,Civil Lines,High,Pending,2025-10-02,,
CMPL-10269,Garbage Collection,Golghar,High,Pending,2024-07-11,,
CMPL-10270,Sewerage,Mohaddipur,Medium,Resolved,2024-06-20,2024-08-10,51.0
CMPL-10271,Road Construction,Indra Nagar,Low,Resolved,2025-06-19,2025-08-24,66.0
CMPL-10272,Road Construction,Basharatpur,High,In-Progress,2025-10-02,,
CMPL-10273,Sewerage,Golghar,High,In-Progress,2024-06-15,,
CMPL-10274,Garbage Collection,Mohaddipur,Medium,Resolved,2026-03-17,2026-03-27,10.0
CMPL-10275,Street Light,Golghar,Low,Resolved,2026-03-13,2026-03-23,10.0
CMPL-10276,Road Construction,Basharatpur,Medium,In-Progress,2026-01-04,,
CMPL-10277,Street Light,Indra Nagar,Medium,Pending,2026-03-11,,
CMPL-10278,Garbage Collection,Indra Nagar,High,Resolved,2024-09-21,2024-11-12,52.0
CMPL-10279,Garbage Collection,Indra Nagar,Low,In-Progress,2025-04-02,,
CMPL-10280,Sewerage,Civil Lines,High,Pending,2025-05-30,,
CMPL-10281,Street Light,Civil Lines,High,In-Progress,2025-03-27,,
CMPL-10282,Sewerage,Civil Lines,Low,Pending,2026-02-09,,
CMPL-10283,Road Construction,Mohaddipur,Medium,In-Progress,2025-03-18,,
CMPL-10284,Sewerage,Civil Lines,Medium,Resolved,2025-12-07,2026-01-08,32.0
CMPL-10285,Water Supply,Mohaddipur,Low,In-Progress,2025-10-21,,
CMPL-10286,Street Light,Indra Nagar,Low,In-Progress,2025-10-22,,
CMPL-10287,Water Supply,Indra Nagar,High,Resolved,2024-09-02,2024-10-27,55.0
CMPL-10288,Road Construction,Indra Nagar,High,Pending,2025-09-09,,
CMPL-10289,Sewerage,Civil Lines,Medium,In-Progress,2025-04-17,,
CMPL-10290,Garbage Collection,Mohaddipur,High,Resolved,2024-05-20,2024-07-13,54.0
CMPL-10291,Sewerage,Indra Nagar,High,Resolved,2025-04-28,2025-05-22,24.0
CMPL-10292,Garbage Collection,Indra Nagar,Medium,Pending,2025-06-03,,
CMPL-10293,Garbage Collection,Golghar,Medium,In-Progress,2025-06-01,,
CMPL-10294,Water Supply,Indra Nagar,High,In-Progress,2025-09-04,,
CMPL-10295,Road Construction,Basharatpur,High,Resolved,2026-03-21,2026-06-11,82.0
CMPL-10296,Road Construction,Civil Lines,Low,In-Progress,2025-12-13,,
CMPL-10297,Water Supply,Civil Lines,Low,In-Progress,2026-01-19,,
CMPL-10298,Garbage Collection,Golghar,High,Resolved,2025-03-20,2025-04-08,19.0
CMPL-10299,Road Construction,Mohaddipur,Low,In-Progress,2026-02-03,,
CMPL-10300,Street Light,Basharatpur,Medium,Pending,2025-09-18,,
CMPL-10301,Street Light,Golghar,Medium,In-Progress,2025-06-03,,
CMPL-10302,Sewerage,Civil Lines,Medium,Resolved,2024-04-25,2024-05-04,9.0
CMPL-10303,Garbage Collection,Basharatpur,High,Resolved,2025-08-07,2025-09-13,37.0
CMPL-10304,Garbage Collection,Basharatpur,Low,In-Progress,2025-03-20,,
CMPL-10305,Water Supply,Indra Nagar,Low,In-Progress,2024-10-26,,
CMPL-10306,Water Supply,Civil Lines,Low,In-Progress,2026-01-29,,
CMPL-10307,Water Supply,Golghar,Medium,In-Progress,2025-05-27,,
CMPL-10308,Sewerage,Civil Lines,Low,Pending,2024-12-20,,
CMPL-10309,Street Light,Golghar,Low,In-Progress,2025-10-29,,
CMPL-10310,Street Light,Golghar,Medium,Resolved,2025-02-11,2025-02-21,10.0
CMPL-10311,Garbage Collection,Golghar,Low,Pending,2024-07-17,,
CMPL-10312,Garbage Collection,Golghar,High,Pending,2025-06-23,,
CMPL-10313,Road Construction,Civil Lines,Medium,Resolved,2024-11-08,2025-05-06,179.0
CMPL-10314,Road Construction,Golghar,Medium,Pending,2024-06-12,,
CMPL-10315,Sewerage,Golghar,Medium,Resolved,2025-08-24,2025-09-18,25.0
CMPL-10316,Road Construction,Golghar,Medium,Resolved,2024-08-18,2024-11-25,99.0
CMPL-10317,Road Construction,Civil Lines,Low,In-Progress,2024-04-24,,
CMPL-10318,Water Supply,Indra Nagar,Medium,In-Progress,2026-03-28,,
CMPL-10319,Sewerage,Mohaddipur,High,In-Progress,2026-03-22,,
CMPL-10320,Garbage Collection,Golghar,Low,In-Progress,2025-11-28,,
CMPL-10321,Road Construction,Civil Lines,Medium,Pending,2026-04-15,,
CMPL-10322,Street Light,Mohaddipur,Low,Resolved,2025-08-10,2025-08-15,5.0
CMPL-10323,Road Construction,Basharatpur,Medium,In-Progress,2024-04-21,,
CMPL-10324,Garbage Collection,Mohaddipur,Medium,Resolved,2025-02-10,2025-03-29,47.0
CMPL-10325,Road Construction,Basharatpur,High,In-Progress,2025-05-05,,
CMPL-10326,Road Construction,Mohaddipur,Low,In-Progress,2025-10-03,,
CMPL-10327,Garbage Collection,Basharatpur,Low,In-Progress,2025-09-29,,
CMPL-10328,Water Supply,Civil Lines,High,In-Progress,2024-10-22,,
CMPL-10329,Street Light,Civil Lines,Low,Pending,2025-07-09,,
CMPL-10330,Sewerage,Golghar,Medium,In-Progress,2025-06-16,,
CMPL-10331,Water Supply,Mohaddipur,Low,In-Progress,2025-08-30,,
CMPL-10332,Road Construction,Mohaddipur,High,Resolved,2025-02-22,2025-05-06,73.0
CMPL-10333,Water Supply,Golghar,Low,In-Progress,2024-11-15,,
CMPL-10334,Sewerage,Golghar,High,In-Progress,2025-11-25,,
CMPL-10335,Water Supply,Civil Lines,Medium,In-Progress,2025-09-01,,
CMPL-10336,Water Supply,Basharatpur,Low,Resolved,2025-12-06,2025-12-17,11.0
